Hostname,Crid,Asset,Price,Role,Product,Owner
app199,66980,AS-07980,$210.00,AP Processor,NTS,NTS
app198,66977,AS-07983,$210.00,Sync Queen,ADServer,Techops
app197,66974,AS-07982,$210.00,AD_SERVER,AD_SERVER,Techops
app196,66971,AS-07974,$210.00,AD_SERVER,AD_SERVER,Techops
app195,66968,AS-07988,$210.00,AD_SERVER,AD_SERVER,Techops
app194,66965,AS-07985,$210.00,AD_SERVER,AD_SERVER,Techops
app193,66962,AS-07975,$210.00,Hadoop-Dev Box,Hadoop,Hadoop
app192,66959,AS-10157,$210.00,Studio,Studio,
app191,66956,AS-07986,$210.00,Hydra,Hydra,Hydra
app190,66953,AS-07987,$210.00,AtakoServer,Ops,Techops
